"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
0,3.70150614614982,0.297,0.036,0,"0","Slc40a1"
0,3.59749739232789,0.828,0.112,0,"0","Slpi"
0,3.19526453255013,0.458,0.066,0,"0","Slc2a3"
0,3.19495098821036,0.251,0.035,0,"0","Padi4"
0,3.13926188056306,0.274,0.031,0,"0","Stfa2l1"
0,3.05428845530766,0.644,0.112,0,"0","Slc16a3"
0,3.00166482344596,0.816,0.152,0,"0","Hdc"
0,2.93517426635938,0.414,0.077,0,"0","Cd300lb"
0,2.88900468458672,0.281,0.05,0,"0","Gm5150"
0,2.86161041791806,0.623,0.124,0,"0","Ptgs2"
0,8.9658812845567,0.574,0.005,0,"1","Fcmr"
0,8.79706264917651,0.414,0.003,0,"1","Ms4a1"
0,8.68984072105801,0.944,0.013,0,"1","Cd79a"
0,7.96481533326325,0.629,0.007,0,"1","Cd79b"
0,7.93069703738372,0.411,0.007,0,"1","Cd19"
0,7.42287158788749,0.355,0.007,0,"1","Pou2af1"
0,7.08295542738591,0.361,0.009,0,"1","Scd1"
0,6.7768611922511,0.375,0.016,0,"1","Fcer2a"
0,6.7468413470952,0.69,0.01,0,"1","Ly6d"
0,6.46873901152897,0.304,0.013,0,"1","Pax5"
0,6.58183444062124,0.595,0.012,0,"2","Thy1"
0,6.48339809638569,0.327,0.006,0,"2","Cd3g"
0,6.26170238781297,0.508,0.011,0,"2","Tcf7"
0,5.78255303111403,0.374,0.01,0,"2","Lat"
0,5.48755813834183,0.34,0.025,0,"2","Bcl11b"
0,5.29572683090187,0.336,0.017,0,"2","Il7r"
0,5.12949209518117,0.333,0.016,0,"2","Lef1"
0,4.3718415502554,0.401,0.035,0,"2","Cd3d"
0,4.36700005488511,0.309,0.02,0,"2","Cd247"
0,4.18859368850388,0.531,0.033,0,"2","Lck"
0,5.35230578870198,0.302,0.016,0,"3","Ffar2"
0,3.94176680479335,0.743,0.096,0,"3","Clec4n"
0,3.92853143547253,0.383,0.032,0,"3","Scimp"
0,3.8487065358666,0.261,0.024,0,"3","Ltc4s"
0,3.81047841134074,0.465,0.056,0,"3","Siglecf"
0,3.76940477657775,0.44,0.052,0,"3","Id1"
0,3.63702841470197,0.396,0.063,0,"3","BC049730"
0,3.6289177876771,0.308,0.038,0,"3","Cish"
0,3.54939919922265,0.458,0.08,0,"3","Cd177"
0,3.42375868686985,0.49,0.076,0,"3","AA467197"
0,7.68236814883402,0.411,0.008,0,"4","Ace"
0,6.89039367264326,0.315,0.006,0,"4","F13a1"
0,5.64642805911378,0.451,0.014,0,"4","Clec4a1"
0,5.14334915657635,0.449,0.02,0,"4","Fn1"
0,4.81738052395506,0.367,0.022,0,"4","Plxnb2"
0,4.75029038469315,0.827,0.092,0,"4","Plac8"
0,4.46874511566498,0.271,0.012,0,"4","Gm20203"
0,4.24745079269603,0.387,0.033,0,"4","Clec4a3"
0,4.21398264068895,0.435,0.043,0,"4","Ccr2"
0,4.20639397342676,0.388,0.032,0,"4","Klf4"
0,10.3194238774325,0.324,0.001,0,"5","Cma1"
0,9.93856595261564,0.945,0.007,0,"5","Gzma"
0,9.56145756396154,0.518,0.002,0,"5","Ncr1"
0,9.2554365444724,0.476,0.002,0,"5","Klra4"
0,8.91235951202867,0.52,0.003,0,"5","Klra13-ps"
0,7.72632819902651,0.466,0.008,0,"5","Klra9"
0,7.65739066697165,0.658,0.006,0,"5","Gzmb"
0,7.61269202690633,0.623,0.006,0,"5","Klre1"
0,7.54404718971925,0.538,0.007,0,"5","Klra7"
0,6.96452897585842,0.318,0.007,0,"5","Klri2"
0,6.53784214158551,0.374,0.011,0,"6","Ngp"
0,4.37727520235649,0.348,0.024,0,"6","Ly6g"
1.36927948624717e-193,3.83326290637488,0.295,0.029,3.86205279096015e-189,"6","I830127L07Rik"
0,3.34111743577308,0.996,0.283,0,"6","Retnlg"
0,3.33388827540428,0.934,0.193,0,"6","Mmp8"
0,3.30520392824894,0.889,0.188,0,"6","Lcn2"
0,3.28566672246931,0.774,0.126,0,"6","Retnlb"
0,3.2499040698925,0.449,0.042,0,"6","Retnla"
0,2.8733987617574,0.842,0.168,0,"6","Wfdc21"
6.02091927571395e-128,2.75472518967156,0.374,0.07,1.69820028171512e-123,"6","Ifitm6"
0,7.17655363779244,0.403,0.008,0,"7","Rab15"
0,5.20944841327142,0.807,0.07,0,"7","Ccl3"
1.53472451950391e-293,4.90595782570668,0.28,0.015,4.32869050726079e-289,"7","Mreg"
0,4.82961046399204,0.501,0.041,0,"7","Fnip2"
0,4.53723857388219,0.881,0.142,0,"7","Cstb"
1.7918329853024e-291,4.45669790472627,0.343,0.025,5.05386493504543e-287,"7","Slc31a2"
0,4.24828903857332,0.738,0.089,0,"7","Cd63-ps"
1.91827392179502e-163,4.11380604654185,0.271,0.03,5.41049159642285e-159,"7","Stx3"
0,4.10738184014766,0.874,0.152,0,"7","Cd63"
3.12243185514354e-229,4.10292498094222,0.315,0.028,8.80681904743234e-225,"7","Ralgds"
0,9.64597463783521,0.495,0.002,0,"8","Krt79"
0,8.23272915137859,0.36,0.002,0,"8","Cidec"
0,7.87940943474857,0.284,0.002,0,"8","Gmpr"
0,6.97206634644076,0.524,0.006,0,"8","Hebp1"
0,6.9124584171828,0.375,0.004,0,"8","Krt19"
0,6.84792299032426,0.984,0.044,0,"8","Chil3"
0,6.51683205725713,0.492,0.009,0,"8","Mrc1"
0,6.45463430527453,0.88,0.03,0,"8","Ear1"
0,6.21632583857753,0.423,0.007,0,"8","Chil4"
0,6.19420185538358,0.445,0.008,0,"8","F7"
0,6.88039032053753,0.258,0.005,0,"9","Cd209a"
6.11353838264325e-260,6.35466690328698,0.28,0.013,1.72432350082453e-255,"9","Mgl2"
0,6.29228559267241,0.309,0.007,0,"9","Ccnd1"
0,5.56701158068077,0.29,0.01,0,"9","Clec10a"
0,5.25657635595975,0.277,0.009,0,"9","Ccl17"
1.62477325393881e-252,4.63110097813332,0.379,0.027,4.58267296273442e-248,"9","Flt3"
4.30393347503134e-194,4.36336438886317,0.261,0.016,1.21392443663259e-189,"9","Ppfia4"
7.65623431800919e-161,4.18539356866365,0.389,0.046,2.15944088939449e-156,"9","Bst2"
3.63698799266508e-174,3.83557975452218,0.264,0.018,1.02581246333119e-169,"9","Itgae"
6.37474541428921e-129,3.54721440821014,0.28,0.029,1.79799694410027e-124,"9","Cd7"
0,9.82103479173345,0.896,0.013,0,"10","Fscn1"
0,8.89897374117989,0.627,0.006,0,"10","Ccl22"
0,8.61112666473727,0.631,0.005,0,"10","Cacnb3"
0,7.2920882426011,0.373,0.005,0,"10","Zmynd15"
0,6.61100532194665,0.321,0.005,0,"10","Adcy6"
0,6.36851776737178,0.362,0.008,0,"10","Ramp3"
8.9531902854334e-239,6.34832978417546,0.254,0.01,2.52524732000649e-234,"10","Flrt3"
0,6.24186035557552,0.653,0.029,0,"10","Tbc1d4"
0,6.09558615803957,0.634,0.016,0,"10","Cxcl16"
0,5.44491610920347,0.351,0.008,0,"10","Ccl17"
0,9.17430014127798,0.66,0.004,0,"11","C1qb"
0,9.03350287516596,0.594,0.005,0,"11","C1qa"
0,8.74957949080178,0.59,0.008,0,"11","C1qc"
2.2749571236489e-291,6.65650731937901,0.335,0.012,6.41651656725173e-287,"11","Mmp12"
0,6.16891129588416,0.349,0.008,0,"11","Trem2"
0,5.60839500118233,0.458,0.018,0,"11","Gpnmb"
2.12216129632602e-237,5.06732028335044,0.825,0.121,5.98555593628753e-233,"11","Apoe"
5.64195472547514e-186,4.39670834465521,0.613,0.077,1.59131333032026e-181,"11","Fabp5"
2.96126565608531e-139,4.3579592866057,0.42,0.045,8.35224978298862e-135,"11","Spp1"
8.04815594473206e-182,4.29107332864028,0.439,0.038,2.26998238421168e-177,"11","Gm14328"
